Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
Le Camping,"Créé et animé par Silicon Sentier, Le Camping héberge des startups web et leur permet de prototyper leur projet, de se faire coacher par des mentors, et de fédérer des communautés d’utilisateurs pour valider leur produit.",#accelerateur,#coaching,#hebergement,48.869508,2.341908,28 place de la Bourse,75002,Paris,,www.lecamping.org,lecamping,https://www.facebook.com/pages/Le-Camping-Silicon-Sentier/128085203897792,https://plus.google.com/104324660391337746040/,,,Incubateur
NeuillyLab,"NeuillyLab est un espace de travail, d’échanges et d’animation économique dédié aux créateurs d’entreprises qui apporte des services de conseil et d’accompagnement aux porteurs de projets.",#hebergement,#accompagnement,,48.883652,2.2631,171 avenue Charles de Gaulle,92200,Neuilly-sur-Seine,,www.neuillylab.com,Neuillylab,https://www.facebook.com/pages/NeuillyLab/130920053601555,,,,Incubateur
Paris Incubateurs,"Piloté par Paris Région Lab, Paris Incubateurs anime des programmes d'incubation thématiques et propose des lieux d'hébergement à destination des créateurs d’entreprises innovantes.",#hebergement,#accompagnement,,48.871109,2.393599,24 rue de l'Est,75020,Paris,,www.parisincubateurs.com,Paris_Incub,,,,,Incubateur
Paris Innovation Belleville,Un des lieux d'hébergement proposé par Paris Incubateurs qui accueille en particulier les entreprises innovantes du programme d'incubation Creanova.,#hebergement,#accompagnement,#creanova,48.871109,2.393599,24 rue de l'Est,75020,Paris,,www.parisincubateurs.com/sites_incubateur/get_site/25,,,,,,Incubateur
Paris Innovation Bourse,Un des lieux d'hébergement proposé par Paris Incubateurs qui accueille en particulier les entreprises innovantes du programme d'incubation lié au secteur de la finance.,#hebergement,#accompagnement,#finance,48.869508,2.341908,28 place de la Bourse,75002,Paris,,www.parisincubateurs.com/sites_incubateur/get_site/28,,,,,,Incubateur
Paris Innovation Masséna,Un des lieux d'hébergement proposé par Paris Incubateurs qui accueille en particulier les entreprises innovantes des programmes d'incubation technologies numériques et mobilité connectée.,#hebergement,#mobilite,#technologie,48.825661,2.3835,15 rue Jean-Baptiste Berlier,75013,Paris,,www.parisincubateurs.com/sites_incubateur/get_site/27,,,,,,Incubateur
Paris Innovation Réunion,Un des lieux d'hébergement proposé par Paris Incubateurs qui accueille en particulier les entreprises innovantes du programme d'incubation lié au secteur médiatique.,#hebergement,#accompagnement,#nouveauxmedias,48.854858,2.40352,80 rue des Haies,75020,Paris,,www.parisincubateurs.com/sites_incubateur/get_site/26,,,,,,Incubateur
Paris Pionnières,"Paris Pionnières s'appuie sur une équipe de professionnels qui vous conseille, vous accompagne et vous propose des bureaux pour votre entreprise, de l’idée jusqu’à sa troisième année d’existence.",#hebergement,#accompagnement,,48.858341,2.3725,26 rue du Chemin Vert,75011,Paris,2008,www.parispionnieres.org,,https://www.facebook.com/pages/Les-Pionni%C3%A8res/157368310975832,,,,Incubateur
Paris Région Innovation Nord Express,"Un des lieux d'hébergement proposé par Paris Incubateurs qui accueille en particulier les entreprises innovantes des programmes d'incubation technologies numériques, nouveaux médias et jeux électroniques.",#jeu,#technologie,#hebergement,48.893959,2.35278,110 rue des Poissonniers,75018,Paris,,www.parisincubateurs.com/sites_incubateur/get_site/30,,,,,,Incubateur
ParisTech Entrepreneurs,L'incubateur ParisTech Entrepreneurs est un organisme d'accompagnement qui soutient la création d'entreprises TIC innovantes.,#hebergement,#coaching,,48.831581,2.33838,9 rue Dareau,75014,Paris,,entrepreneurs.telecom-paristech.fr,IncubParisTech,https://www.facebook.com/pages/Incubateur-T%C3%A9l%C3%A9com-ParisTech-Eurecom-Entrepreneurs/421796347832607,,,,Incubateur
Peego Start'Up,Peego Start'Up est l'incubateur de l'Université Paris Dauphine et est ouvert aux étudiants ou jeunes diplômés des établissements de Peego porteurs d'un projet.,#IES,#accompagnement,#formation,48.871288,2.27428,Place du Maréchal de Lattre de Tassigny,75116,Paris,,www.peego.dauphine.fr/index.php?id=8967,,https://www.facebook.com/pages/PEEGO/197857936936906,,,,Incubateur
Scientipôle Initiative,Scientipôle Initiative est une association d'accompagnement et de financement de jeunes entreprises innovantes de la région Ile-de-France.,#accompagnement,#financement,,48.697078,2.18961,Rue du Belvédère,91400,Orsay,,www.scientipole-initiative.org,ScientInitiativ,,,,,Incubateur
Startup42,"Soutenu par Epita, Startup42 est un incubateur qui accueille des startups technologiques pour les aider à accélérer leur développement en phase d'amorçage et de décollage.",#accelerateur,#hebergement,#coaching,48.81586,2.362014,14 rue Voltaire,94270,Le Kremlin-Bicêtre,2013,www.startup42.org,Startup42_,https://www.facebook.com/pages/Startup42/462065180516147,https://plus.google.com/104793761354322200791,http://fr.linkedin.com/company/startup42,,Incubateur
Telecom & Management SudParis Entrepreneurs,"Télécom & Management SudParis Entrepreneurs favorise l’émergence de jeunes entreprises TIC à fort potentiel d’innovation, de développement et de création d’emploi.",#IES,#coaching,#hebergement,48.62356,2.44441,9 rue Charles Fourier,91000,Evry,2000,incubateur.telecom-sudparis.eu,IncubTelecomSP,https://www.facebook.com/pages/Incubateur-T%C3%A9l%C3%A9com-Management-Sudparis-Entrepreneurs/412148998874377,,,,Incubateur
